entity_type,entity_id,source_type,source_name,source_url_or_ref,verification_note
dataset,DATASET001,manual_curation,Spotify public pages + secondary references + manual normalization,https://open.spotify.com/ ; selected web search results ; curated spreadsheet to normalized CSV workflow,"The dataset was populated by manually selecting representative tracks and relations, checking a subset of public Spotify pages, and then generating normalized tables via script rather than typing every row by hand."
track,TRK003,spotify_public_page,Spotify public track page,1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger public Spotify track reference checked from web search.
track,TRK028,spotify_public_page,Spotify public track page,4eHbdreAnSOrDDsFfc4Fpm,Whitney Houston I Will Always Love You public Spotify track reference checked from web search.
track,TRK045,spotify_public_page,Spotify public track page,0aFObVR01JzPbBMjze4xPV,No Church In The Wild public Spotify track reference checked from web search.
track,TRK093,spotify_public_page,Spotify public track page,6NPVjNh8Jhru9xOmyQigds,Happy public Spotify track reference checked from web search.
track,TRK040,spotify_public_page,Spotify public track page,28cnXtME493VX9NOw9cIUh,Johnny Cash Hurt public Spotify track reference checked from web search.
sampling_relation,SMP001,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Jamie Foxx replays the Ray Charles hook; standard teaching example.
sampling_relation,SMP002,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Gospel source lineage commonly cited in sample-chain discussions.
sampling_relation,SMP003,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Core soul sample reused by Kanye West.
sampling_relation,SMP004,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Classic bassline sample relation.
sampling_relation,SMP005,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Canonical pop-rap sample pair.
sampling_relation,SMP006,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Widely documented R&B sample source.
sampling_relation,SMP007,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Well-known soul sample lineage.
sampling_relation,SMP008,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Iconic sped-up soul vocal sample.
sampling_relation,SMP009,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Otis Redding vocal sample reused as title concept.
sampling_relation,SMP010,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Nina Simone vocal sample relation.
sampling_relation,SMP011,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Part of the long recursive sample chain example.
sampling_relation,SMP012,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Part of the long recursive sample chain example.
sampling_relation,SMP013,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Part of the long recursive sample chain example.
sampling_relation,SMP014,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Part of the long recursive sample chain example.
